"","iv1","iv2","iv3","price_coef","quality_coef","price_coef_Pvalue","quality_coef_Pvalue","WeakIV_1","WeakIV_2","WuHausman","Sargan","iv_endo1_Ftest","iv_endo1_Ftes2","score"
"1","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"2","sum.o.suction","sum.o.Wok_1charge","sum.o.pro_age","-3.99355620993962","2.18673776748808","0.00190016610434386","0.000115683250857763","1.12038124023678e-06","1.52863822202418e-16","3.66436225563496e-10","0.0381300847594549","10.1949460266015","25.9190238247776","2.8"
"3","sum.o.suction","sum.o.Wok_1charge","sum.r.pro_age","-3.99355620993928","2.18673776748821","0.00190016610434477","0.000115683250857564","1.12038124023678e-06","1.52863822201794e-16","3.66436225562784e-10","0.0381300847594113","10.194946026602","25.9190238247792","2.8"
"4","sum.o.suction","sum.o.pro_age","sum.r.suction","-4.61366300926878","2.393198839202","0.00105398142445484","9.45285462912796e-05","7.61481800831329e-07","1.4322043809162e-16","1.80015326731571e-11","1","10.3528294351577","40.4662645389434","2.4"
"5","sum.o.suction","sum.o.pro_age","sum.r.Wok_1charge","-3.99355620993926","2.18673776748737","0.00190016610434537","0.000115683250858073","1.12038124024132e-06","1.52863822201367e-16","3.66436225566616e-10","0.0381300847591323","10.1949460265996","25.9190238247814","2.8"
"6","sum.o.suction","sum.o.pro_age","sum.r.pro_age","-4.61366300926882","2.39319883920196","0.00105398142445468","9.45285462913045e-05","7.6148180083116e-07","1.43220438091401e-16","1.80015326731439e-11","1","10.3528294351577","40.4662645389434","2.4"
"7","sum.o.suction","sum.r.suction","sum.r.pro_age","-4.6136630092691","2.39319883920193","0.00105398142445398","9.45285462913087e-05","7.61481800830323e-07","1.43220438091245e-16","1.80015326731615e-11","1","10.3528294351578","40.4662645389432","2.4"
"8","sum.o.suction","sum.r.Wok_1charge","sum.r.pro_age","-3.99355620993947","2.18673776748755","0.00190016610434587","0.000115683250858032","1.12038124024084e-06","1.52863822201794e-16","3.66436225565903e-10","0.0381300847590888","10.1949460265992","25.9190238247803","2.8"
"9","sum.o.Wok_1charge","sum.o.pro_age","sum.r.suction","-3.99355620994133","2.18673776748817","0.00190016610433971","0.000115683250857909","1.12038124024132e-06","1.52863822202418e-16","3.66436225561892e-10","0.0381300847596466","10.1949460265998","25.9190238247767","2.8"
"10","sum.o.Wok_1charge","sum.r.suction","sum.r.pro_age","-3.99355620994071","2.18673776748802","0.00190016610434041","0.000115683250857865","1.1203812402394e-06","1.52863822201959e-16","3.66436225561446e-10","0.0381300847595334","10.1949460266005","25.9190238247793","2.8"
"11","sum.o.pro_age","sum.r.suction","sum.r.Wok_1charge","-3.99355620993998","2.18673776748796","0.00190016610434172","0.000115683250857821","1.12038124023559e-06","1.52863822202123e-16","3.66436225562962e-10","0.0381300847593763","10.1949460266015","25.919023824779","2.8"
"12","sum.o.pro_age","sum.r.suction","sum.r.pro_age","-4.61366300926945","2.39319883920183","0.00105398142445263","9.45285462913785e-05","7.61481800829988e-07","1.43220438091277e-16","1.80015326731482e-11","1","10.352829435159","40.4662645389432","2.4"
"13","sum.r.suction","sum.r.Wok_1charge","sum.r.pro_age","-3.99355620994117","2.18673776748781","0.00190016610433893","0.000115683250858055","1.12038124024084e-06","1.52863822202092e-16","3.66436225562962e-10","0.0381300847594113","10.1949460266006","25.9190238247785","2.8"
