"","iv1","iv2","iv3","quality_coef","price_coef","quality_coef_Pvalue","price_coef_Pvalue","WeakIV_1","WeakIV_2","WuHausman","Sargan","iv_endo1_Ftest","iv_endo1_Ftes2","score"
"2","sum.o.Wok_1charge","sum.o.suction","sum.o.pro_age","7.72035362111131","-0.00559155102431788","0.380944279599218","0.713413091502707","0.0185537890176481","9.33169864583451e-19","0.320473580269534",NA,"86.6489744921012","27.8330334226564",NA
"3","sum.o.Wok_1charge","sum.o.suction","sum.r.Wok_1charge","8.84372881168007","-0.00876881590676064","0.095553766046066","0.743776236043477","1.19444119667841e-09","2.51974198817711e-11","4.19136696185818e-15",NA,"73.3940662944154","39.6252638299671",NA
"4","sum.o.Wok_1charge","sum.o.suction","sum.r.suction","8.69222139845017","-0.00834030441076396","0.088795246959181","0.749130077826764","1.06441855423121e-09","3.571365154475e-11","6.27053695880614e-15",NA,"73.1270546802487","39.7082664885181",NA
"5","sum.o.Wok_1charge","sum.o.suction","sum.r.pro_age","11.847503232487","-0.017264452148277","0.249992124496587","0.699305520711761","2.94289419576227e-08","6.23699879896015e-13","3.07693594164636e-16",NA,"76.2333909168972","37.3226946073872",NA
"6","sum.o.Wok_1charge","sum.o.pro_age","sum.r.Wok_1charge","8.53544823716972","-0.00692349288562054","0.000415430019686645","0.391290643010493","4.50742203502729e-10","1.11748622649772e-26","5.38492693653201e-14",NA,"101.119583367054","40.3275314513029",NA
"7","sum.o.Wok_1charge","sum.o.pro_age","sum.r.suction","8.42935838251394","-0.00675013200739714","0.000346737585010867","0.394440303367501","3.9731579548868e-10","1.91759370684119e-26","7.13135576577773e-14",NA,"100.686059475694","40.4185148737093",NA
"8","sum.o.Wok_1charge","sum.o.pro_age","sum.r.pro_age","10.2883318107334","-0.00978787079171675","0.00284694905615224","0.350642091864755","6.21811140451594e-09","2.30421409316431e-28","1.20542325240808e-15",NA,"104.245122591147","38.4385038844642",NA
"9","sum.o.suction","sum.o.pro_age","sum.r.Wok_1charge","8.47252007056877","-0.00676992054170278","0.000195290791755771","0.385377736412785","6.79743298781462e-10","7.40419427225074e-26","3.80132739746467e-15","0.931565532100491","41.6807918080742","15.4414820181249","2.4"
"10","sum.o.suction","sum.o.pro_age","sum.r.suction","8.37663911018236","-0.00662086024519324","0.000166444850082579","0.388280443811629","6.39435491563206e-10","1.31466213494842e-25","5.77046746364469e-15","0.939736176059814","41.262588660998","15.484397985324","2.4"
"11","sum.o.suction","sum.o.pro_age","sum.r.pro_age","10.056484536558","-0.00919892819784457","0.00171638454552535","0.353398738566126","1.67462160635601e-08","2.00969324570915e-27","3.13657916062834e-16","0.816088197690755","44.3147326433747","13.1932978629759","2.4"
"12","sum.o.pro_age","sum.r.Wok_1charge","sum.r.suction","7.48200150472489","-0.00320826297428647","0.000165005678771787","0.624925535259875","2.02479013237588e-09","1.59600680472168e-26","4.79891033974625e-13","0.193514689900656","42.8000395684363","14.675379115282","2.4"
"13","sum.o.pro_age","sum.r.Wok_1charge","sum.r.pro_age","7.95896072065581","-0.00382752909126724","0.000378882063667863","0.599743751764981","1.81594102652953e-09","1.72771000402914e-27","1.80039437647776e-14","0.121699518960094","44.425399792196","14.7517720420019","2.4"
"14","sum.o.pro_age","sum.r.suction","sum.r.pro_age","7.89332726476592","-0.0036557814392192","0.000321355053943719","0.610775243580107","1.45245026632988e-09","1.70865108928402e-27","1.48933243693399e-14","0.118384294303909","44.4335203668968","14.9085166211511","2.4"
